area,ano,acertos,nota_min,nota_max,nota_media
CN,2017,16,394.9,640.1,577.87
CN,2017,17,403.2,647.1,591.56
CN,2017,18,422.3,652.0,603.93
CN,2017,19,451.4,659.4,614.68
CN,2017,20,466.6,663.9,624.45
CN,2017,21,476.9,672.4,633.39
CN,2017,22,526.8,678.8,641.49
CN,2017,23,567.9,685.3,649.33
CN,2017,24,575.8,692.3,656.98
CN,2017,25,610.8,700.1,664.32
CN,2017,26,619.5,705.1,671.53
CN,2017,27,618.5,715.2,678.82
CN,2017,28,634.2,719.7,685.85
CN,2017,29,645.6,726.8,693.08
CN,2017,30,655.6,736.0,700.57
CN,2017,31,671.5,739.5,707.74
CN,2017,32,678.9,743.2,715.52
CN,2017,33,676.0,755.3,722.8
CN,2017,34,693.5,768.6,731.21
CN,2017,35,702.5,772.1,739.27
CN,2017,36,712.0,780.6,747.93
CN,2017,37,719.1,796.3,756.96
CN,2017,38,734.6,796.2,766.19
CN,2017,39,738.9,806.3,776.35
CN,2017,40,762.2,816.2,787.39
CN,2017,41,773.4,829.5,802.18
CN,2017,42,778.1,852.1,817.9
CN,2017,43,813.0,853.0,837.87
CN,2017,44,839.7,868.3,851.39
CN,2017,45,885.6,885.6,885.6
LC,2017,0,299.6,301.5,300.37
LC,2017,1,299.6,337.0,307.11
LC,2017,2,299.6,372.1,319.59
LC,2017,3,300.0,399.9,330.98
LC,2017,4,300.0,422.2,343.17
LC,2017,5,300.3,434.2,355.28
LC,2017,6,300.6,450.3,368.02
LC,2017,7,302.3,461.1,381.69
LC,2017,8,303.2,473.6,395.56
LC,2017,9,302.2,480.4,409.65
LC,2017,10,306.3,487.7,423.76
LC,2017,11,307.4,494.0,437.26
LC,2017,12,311.6,502.2,450.29
LC,2017,13,316.6,509.9,462.69
LC,2017,14,321.7,517.0,474.33
LC,2017,15,326.4,664.8,485.17
LC,2017,16,340.4,535.5,495.36
LC,2017,17,336.2,543.9,505.0
LC,2017,18,347.0,552.3,514.09
LC,2017,19,415.2,562.0,522.75
LC,2017,20,424.3,566.8,530.89
LC,2017,21,459.7,574.4,538.69
LC,2017,22,474.9,579.5,546.21
LC,2017,23,486.4,587.0,553.4
LC,2017,24,508.0,594.0,560.47
LC,2017,25,525.8,600.6,567.37
LC,2017,26,525.5,608.0,574.24
LC,2017,27,536.4,613.8,581.08
LC,2017,28,549.1,619.9,587.92
LC,2017,29,554.3,625.5,594.87
LC,2017,30,559.7,633.3,601.94
LC,2017,31,569.9,643.3,609.12
LC,2017,32,575.7,648.5,616.51
LC,2017,33,584.9,661.2,624.21
LC,2017,34,589.6,666.1,632.26
LC,2017,35,598.4,672.9,640.58
LC,2017,36,603.9,687.1,649.27
LC,2017,37,615.2,697.4,658.68
LC,2017,38,624.1,710.4,669.08
LC,2017,39,637.6,719.7,679.92
LC,2017,40,648.5,736.6,692.53
LC,2017,41,658.2,753.5,706.39
LC,2017,42,685.4,768.3,722.32
LC,2017,43,714.8,779.3,750.71
LC,2017,44,741.4,788.8,769.7
MT,2017,0,350.1,350.1,350.1
MT,2017,1,350.1,395.7,358.62
MT,2017,2,350.1,440.9,365.98
MT,2017,3,350.1,465.5,375.28
MT,2017,4,350.3,493.6,385.11
MT,2017,5,350.8,515.7,396.45
MT,2017,6,351.0,543.9,408.85
MT,2017,7,352.1,570.0,423.04
MT,2017,8,352.1,585.3,438.63
MT,2017,9,353.9,602.7,456.26
