POSICAO,NO_ENTIDADE,NO_MUNICIPIO,DEP,N_ALUNOS,MEDIA_5,CN,CH,LC,MT,REDACAO,CO_ESCOLA
115,ESCOLA ESTADUAL JOSE ALVES MAIA,Belém,2.0,56,470.1,444.8,466.3,483.2,445.3,510.7,15040402
116,ESCOLA ESTADUAL DONA HELENA GUILHON,Belém,2.0,31,469.6,456.6,466.9,479.6,457.3,487.7,15042855
117,ESCOLA ESTADUAL DR JOSE MARCIO AYRES,Belém,2.0,59,468.9,450.3,466.3,461.9,453.3,512.5,15586227
118,ESCOLA ESTADUAL PAULINO DE BRITO,Belém,2.0,48,468.6,457.1,469.0,500.3,464.4,452.1,15039234
119,ESCOLA ESTADUAL BRIGADEIRO FONTENELLE,Belém,2.0,120,468.2,449.8,452.2,468.2,457.2,513.8,15040305
120,ESCOLA ESTADUAL MARIA ANTONIETA SERRA FREIRE,Belém,2.0,60,468.0,462.5,457.2,473.4,452.1,495.0,15042650
121,ESCOLA ESTADUAL JARBAS PASSARINHO - SOUZA,Belém,2.0,31,467.8,461.4,454.8,475.6,450.3,496.8,15040003
122,ESCOLA ESTADUAL MAGALHAES BARATA,Belém,2.0,191,467.7,453.4,461.3,476.6,463.3,483.7,15577791
123,ESCOLA ESTADUAL PROF RENATO PINHEIRO CONDURU,Belém,2.0,28,467.5,458.9,470.7,475.3,463.5,469.3,15043517
124,ESCOLA ESTADUAL PROF PALMIRA GABRIEL,Belém,2.0,120,467.3,454.0,461.8,464.8,443.7,512.3,15042324
125,ESCOLA ESTADUAL MARIA GABRIELA RAMOS DE OLIVEIRA,Belém,2.0,35,466.5,455.5,477.8,480.6,468.4,450.3,15034739
126,ESCOLA ESTADUAL PROFA DILMA DE SOUZA CATTETE,Belém,2.0,18,465.1,455.7,460.1,495.4,481.1,433.3,15042898
127,ESCOLA ESTADUAL PADRE BENEDITO CHAVES,Belém,2.0,38,463.5,450.5,460.2,470.7,464.9,471.1,15039684
128,ESCOLA ESTADUAL GRAZIELA MOURA RIBEIRO,Belém,2.0,27,463.0,448.2,456.6,475.6,431.6,503.0,15040313
129,ESCOLA ESTADUAL MARIO BARBOSA,Belém,2.0,35,462.1,458.2,456.5,469.0,470.4,456.6,15140711
130,ESCOLA ESTADUAL SUBOFICIAL EDVALDO BRANDAO DE JESUS,Belém,2.0,56,461.8,434.2,456.2,460.4,450.8,507.5,15042804
131,ESCOLA ESTADUAL DO OUTEIRO,Belém,2.0,124,460.9,453.1,454.9,454.7,437.3,504.5,15042782
132,ESCOLA ESTADUAL PROF RUTH ROSITA DE NAZARE GONZALES,Belém,2.0,48,458.3,445.6,453.7,463.4,444.9,483.8,15040291
133,ESCOLA ESTADUAL DR FREITAS,Belém,2.0,58,457.0,451.2,449.5,480.7,450.4,453.1,15039919
134,ESCOLA ESTADUAL ALDEBARO KLAUTAU,Belém,2.0,86,456.1,462.8,473.9,465.3,444.3,434.4,15039528
135,ESCOLA ESTADUAL PROF SANTANA MARQUES,Belém,2.0,112,456.1,454.3,453.9,465.8,441.2,465.4,15039803
136,ESCOLA ESTADUAL AUGUSTO MONTENEGRO,Belém,2.0,13,455.8,441.8,451.2,465.5,434.1,486.2,15039587
137,ESCOLA ESTADUAL CIDADE DE EMAUS,Belém,2.0,10,454.2,475.9,454.7,472.1,446.1,422.0,15042570
138,ESCOLA ESTADUAL NOSSA SENHORA DO CARMO,Belém,2.0,49,453.3,446.1,444.7,468.5,434.8,472.2,15042626
139,ESCOLA ESTADUAL BARAO DE IGARAPE MIRI,Belém,2.0,79,453.2,454.7,451.3,474.0,429.9,455.9,15038769
140,ESCOLA ESTADUAL PROF ABELARDO LEAO CONDURU,Belém,2.0,87,452.4,436.9,433.7,444.4,434.3,512.9,15043320
141,ESCOLA ESTADUAL EDGAR PINHEIRO PORTO,Belém,2.0,31,449.3,430.8,456.4,455.1,433.8,470.3,15040356
142,ESCOLA ESTADUAL PROF PORANGA JUCA,Belém,2.0,58,448.0,449.3,457.9,460.6,447.9,424.1,15042880
143,ESCOLA ESTADUAL PROF NAGIB COELHO MATNI,Belém,2.0,57,447.6,455.8,456.7,463.1,433.8,428.4,15564371
144,ESCOLA ESTADUAL PADRE FRANCISCO BERTON,Belém,2.0,34,446.9,435.5,437.9,466.2,414.9,480.0,15042529
145,ESCOLA ESTADUAL S PROF CAMILO SALGADO,Belém,2.0,109,446.5,440.8,430.6,451.9,443.9,465.3,15040143
146,ESCOLA ESTADUAL FREI DANIEL,Belém,2.0,60,446.1,441.4,442.4,454.3,433.2,459.0,15039951
147,ESCOLA ESTADUAL DR PAULO FONTELLES DE LIMA,Belém,2.0,60,440.5,441.6,440.0,447.1,422.9,451.0,15042936
148,ESCOLA ESTADUAL ACACIO FELICIO SOBRAL,Belém,2.0,48,438.3,430.8,451.4,447.9,443.2,418.3,15039633
149,ESCOLA ESTADUAL EUNICE WEAVER,Belém,2.0,41,438.3,451.5,438.4,446.0,417.3,438.5,15043525
150,ESCOLA ESTADUAL PADRE EDUARDO,Belém,2.0,43,436.5,432.7,448.6,445.3,437.8,418.1,15167313
151,ESCOLA ESTADUAL PROFA MARTA DA CONCEICAO,Belém,2.0,38,433.5,426.6,424.8,430.0,421.9,464.2,15042952
152,ESCOLA ESTADUAL AMILCAR ALVES TUPIASSU,Belém,2.0,52,432.8,442.2,447.6,457.9,425.9,390.4,15039552
153,ESCOLA ESTADUAL AUGUSTO OLIMPIO,Belém,2.0,37,431.4,435.5,432.5,443.5,439.1,406.5,15039706
154,ESCOLA ESTADUAL PROFA MARIA LUIZA DA COSTA REGO,Belém,2.0,44,430.8,429.0,431.8,461.1,424.2,407.7,15042944
155,ESCOLA ESTADUAL FE EM DEUS,Belém,2.0,37,429.9,430.3,434.0,439.9,424.4,421.1,15148955
156,ESCOLA ESTADUAL WALDEMAR HENRIQUE,Belém,2.0,62,429.0,432.4,441.7,452.1,441.5,377.1,15517900
157,ESCOLA ESTADUAL BRASILIA,Belém,2.0,54,426.5,429.1,434.4,442.4,413.3,413.3,15042677
158,ESCOLA ESTADUAL IZABEL DOS SANTOS DIAS,Belém,2.0,38,425.4,437.3,430.9,440.3,432.0,386.3,15042863
159,ESCOLA ESTADUAL ARTHUR PORTO,Belém,2.0,34,424.5,440.1,440.6,445.8,414.4,381.8,15039668
160,ESCOLA ESTADUAL PROF ACY DE JESUS BARROS PEREIRA,Belém,2.0,43,423.7,423.8,411.5,436.7,419.3,427.4,15040470
161,ESCOLA ESTADUAL RUY PARANATINGA BARATA,Belém,2.0,15,405.5,413.7,435.1,430.3,436.3,312.0,15552594
162,ESCOLA ESTADUAL PROF ANTONIO GOMES MOREIRA JUNIOR,Belém,2.0,18,403.8,404.4,432.0,433.1,423.9,325.6,15552586
163,ESCOLA ESTADUAL MARILDA NUNES,Belém,2.0,10,388.2,411.7,417.4,413.7,394.1,304.0,15042537
